Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D.1,PHOSPHORUS,MAGNESIUM,VITAMIN C,VITAMIN D.2,NIACIN,VITAMIN B6,VITAMIN B12,NIACIN.1,BIOTIN,FOLATE,Category
Bodybuilding.com Signature,1 - 57g Bar,Chocolate Peanut Butter,9.4,$3.74,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,1 - 57g Bar,Cinnamon Roll,9.4,$3.74,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,1 - 57g Bar,Cookies and Cream,9.4,$3.74,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,12 - 57g Bars,Chocolate Peanut Butter,9.4,$24.99,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,12 - 57g Bars,Cinnamon Roll,9.4,$24.99,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,12 - 57g Bars,Cookies and Cream,9.4,$24.99,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,12 - 57g Bars,Chocolate Chip Cookie Dough,9.4,$24.99,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.59 Lbs. - Cold Stone Creamery® Series,Berry Berry Berry Good,9.2,$29.99,200,6000.0,65.0,140.0,15000.0,22000.0,200.0,230.0,0.0,0.0,0.0,0.0,0.0,140.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.59 Lbs. - Cold Stone Creamery® Series,Birthday Cake Remix,9.2,$29.99,200,6000.0,65.0,170.0,15000.0,22000.0,170.0,240.0,0.0,0.5,0.0,0.0,0.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
BSN,2.59 Lbs. - Cold Stone Creamery® Series,Cookie Doughn't You Want Some,9.2,$29.99,200,6000.0,60.0,200.0,15000.0,0.0,200.0,230.0,0.0,0.4,0.0,0.0,0.0,120.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
